precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL PĂTRĂUȚI",422,PĂTRĂUŢI,149833,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:28",2037,2026,1,3,7,1071,1061,0,3,7,1043,28,2246,1175,689,117,7,210,20
35,SUCEAVA,"CAMINUL CULTURAL VECHI PATRAUTI",423,PĂTRĂUŢI,149833,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:12:03",2049,2048,0,1,0,1043,1042,0,1,0,817,226,2250,1207,475,53,101,175,13
