precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi"
32,"SATU MARE","CLĂDIRE ADMINISTRATIVĂ",285,SĂCĂŞENI,138770,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:19:11",129,112,0,13,4,81,64,0,13,4,77,4,130,49,5,24,35,4,9
32,"SATU MARE","PRIMARIA SACASENI",284,SĂCĂŞENI,138770,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:37:39",844,810,0,10,24,499,465,0,10,24,456,43,881,382,22,119,55,245,15
