precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂLAN DAN-PARTIDUL SOCIAL DEMOCRAT-voturi","DUŢU NICULAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CHIŢU VICTOR-PARTIDUL NAȚIONAL LIBERAL-voturi","GHIOCA ELENA-LUIZA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LEFTER ADELIN-PARTIDUL IALOMIȚENILOR-voturi"
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL FRUMUȘICA",100,AXINTELE,100923,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:20:46",759,748,0,8,3,478,470,0,8,0,453,25,830,352,211,50,103,69,20
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”ROMAN IALOMIȚEANUL”",99,AXINTELE,100923,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:37:40",505,499,0,5,1,339,333,0,5,1,323,16,550,211,234,24,47,16,2
23,IALOMIŢA,"ȘCOALA PRIMARĂ HORIA",101,AXINTELE,100923,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:22:44",452,449,0,3,0,270,267,0,3,0,257,13,454,184,104,115,15,22,1
