precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOLDUREA ION-PARTIDUL SOCIAL DEMOCRAT-voturi","RECE EMIL-UNIUNEA SALVAȚI ROMÂNIA-voturi","PĂTRU OVIDIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU LUMINIŢA-PARTIDUL NAȚIONAL LIBERAL-voturi","JIANU JANA-MIRELA-PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"CENTRUL CULTURAL MUNICIPAL CARACAL",61,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:46:08",1148,1111,0,20,17,671,634,0,20,17,653,18,1252,581,468,32,26,117,10
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",51,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:07:05",1521,1498,1,13,9,740,718,0,13,9,710,18,1671,938,507,20,32,142,9
30,OLT,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1",50,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:54:03",1823,1818,0,5,0,777,772,0,5,0,723,54,2011,1234,555,17,31,99,21
30,OLT,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",55,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:25:39",1533,1522,1,10,0,632,622,0,10,0,613,19,1697,1065,412,15,26,145,15
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",60,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:42:14",1513,1490,0,11,12,690,667,0,11,12,669,21,1656,966,477,20,54,104,14
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4",59,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:43:23",1486,1477,0,5,4,678,669,0,5,4,667,11,1649,971,435,16,44,146,26
30,OLT,"LICEUL MIHAI VITEAZUL",53,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:20:15",1288,1233,1,7,47,625,571,0,7,47,584,41,1430,805,377,29,28,132,18
30,OLT,"LICEUL TEHNOLOGIC CONSTANTIN FILIPESCU",52,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:00:30",1800,1788,3,6,3,759,750,0,6,3,729,29,1985,1211,520,21,55,116,17
30,OLT,"LICEUL TEHNOLOGIC MATEI BASARAB",54,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:29:29",1640,1603,1,33,3,727,691,0,33,3,711,16,1791,1064,520,25,22,123,21
30,OLT,"LICEUL TEORETIC IONIŢĂ ASAN",49,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:30:32",1776,1762,0,9,5,686,672,0,9,5,651,35,1965,1279,536,13,25,66,11
30,OLT,"ŞCOALA GIMNAZIALĂ GHEORGHE MAGHERU",62,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:56:04",1770,1758,0,5,7,896,884,0,5,7,879,17,1960,1056,641,24,63,125,26
30,OLT,"ŞCOALA GIMNAZIALĂ NICOLAE TITULESCU",56,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:10:33",1448,1444,0,2,2,668,664,0,2,2,654,14,1704,1036,426,14,50,154,10
30,OLT,"ŞCOALA GIMNAZIALĂ NICOLAE TITULESCU",57,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:32",1323,1313,1,9,0,606,597,0,9,0,599,7,1469,863,411,16,18,140,14
30,OLT,"ŞCOALA GIMNAZIALĂ NR.1",65,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:06:33",1515,1510,0,3,2,815,810,0,3,2,768,42,1674,864,518,28,64,151,7
30,OLT,"ŞCOALA GIMNAZIALĂ NR.2",58,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:08:37",1490,1476,0,12,2,691,677,0,12,2,669,20,1650,961,410,20,61,163,15
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",63,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:23:30",1662,1643,0,13,6,850,831,0,13,6,837,13,1821,971,599,20,57,140,21
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",64,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:13:31",1841,1823,1,6,11,933,916,0,6,11,903,30,2024,1091,718,24,54,90,17
