precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRICĂ CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","SANDU PETRIŞOR-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA POPPEL-DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR.1",216,"TĂMĂDĂU MARE",105455,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:55",1262,1214,0,40,8,837,789,0,40,8,804,33,1305,468,598,165,41
12,CĂLĂRAŞI,"SCOALA PRIMARA NR.2",217,"TĂMĂDĂU MARE",105455,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:05:39",720,685,0,28,7,463,428,0,28,7,444,19,802,339,236,184,24
