precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
7,BOTOŞANI,"ŞCOALA GIMNAZIALÃ, CÂNDEȘTI",175,CÂNDEŞTI,39967,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:16",1080,1052,3,11,14,534,509,0,11,14,523,11,1100,566,89,80,216,114,24
7,BOTOŞANI,"ŞCOALA PRIMARĂ TALPA",176,CÂNDEŞTI,39967,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:09:24",499,495,0,0,4,268,264,0,0,4,255,13,550,282,58,58,111,17,11
7,BOTOŞANI,"ŞCOLA PRIMARĂ VIŢCANI",177,CÂNDEŞTI,39967,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:26:29",310,304,1,4,1,165,160,0,4,1,156,9,359,194,47,20,75,13,1
