precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STAN NISTOR-PARTIDUL SOCIAL DEMOCRAT-voturi","COMAN COSTINEL-PARTIDUL MIȘCAREA POPULARĂ-voturi","GHIOCA DAN-ALEXANDRU-FORȚA DREPTEI-voturi"
31,PRAHOVA,"CAMINUL CULTURAL",543,SĂLCIILE,135146,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:18:10",733,583,0,85,65,580,430,0,85,65,558,21,704,125,277,18,263
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ COMUNA SĂLCIILE",542,SĂLCIILE,135146,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:16:57",760,606,0,97,57,607,453,0,97,57,593,14,729,122,312,19,262
