precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
24,IAŞI,"CĂMIN CULTURAL",576,MOŢCA,98220,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:48",1526,1520,0,1,5,763,757,0,1,5,721,42,1660,897,70,238,64,349
24,IAŞI,"CĂMIN CULTURAL",577,MOŢCA,98220,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:30",1460,1454,0,3,3,707,701,0,3,3,676,31,1600,893,67,189,114,306
24,IAŞI,"CĂMINUL CULTURAL BOURENI",578,MOŢCA,98220,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:36",1155,1127,0,5,23,530,502,0,5,23,498,32,1300,770,52,89,4,353
