precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ATONOAIE SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ATUDOREI VALERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","COMAN-GĂBURICI CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DRUMEA TODIREL-PARTIDUL ECOLOGIST ROMÂN-voturi","LASLO PETRE-voturi"
4,BACĂU,"PRIMĂRIA BRUSTUROASA",284,BRUSTUROASA,21597,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:21",1231,1208,0,6,17,660,637,0,6,17,637,23,1300,640,177,221,193,15,31
4,BACĂU,"ŞCOALA PRIMARĂ CAMENCA",286,BRUSTUROASA,21597,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:57:23",780,763,0,4,13,462,445,0,4,13,439,22,800,339,114,77,220,21,7
4,BACĂU,"ŞCOALA PRIMARĂ CUCHINIŞ",285,BRUSTUROASA,21597,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:48",635,629,0,0,6,301,295,0,0,6,289,12,700,399,97,86,95,8,3
