precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RISTEA DUMITRU-LEONARD-PARTIDUL NAȚIONAL LIBERAL-voturi","CONSTANTIN ION-PARTIDUL SOCIAL DEMOCRAT-voturi","ENĂCHESCU GHEORGHE-OVIDIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"ȘCOALA GENERALĂ CU CLASELE I-IV MICLOȘANII MICI",289,"MALU CU FLORI",67942,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:41:55",702,685,0,4,13,458,441,0,4,13,446,12,750,292,35,404,7
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ MALU CU FLORI, NR. 139BIS",288,"MALU CU FLORI",67942,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:43",1140,1119,1,2,18,742,722,0,2,18,722,20,1231,489,93,570,59
