precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","DOBRIŢA MARCEL-voturi"
30,OLT,"CENTRUL DE ZI PENTRU COPII AFLAȚI ÎN SITUAȚII DE RISC",298,SÂRBII-MĂGURA,130366,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:04",642,594,0,11,37,445,397,0,11,37,430,15,692,247,311,99,20
30,OLT,"ŞCOALA GIMNAZIALĂ FLORIAN DIȚULEASA VITĂNEȘTI",297,SÂRBII-MĂGURA,130366,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:04",847,784,0,22,41,566,503,0,22,41,555,11,910,344,417,126,12
