precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","CUC FLORIN-FRANCISC-voturi"
5,BIHOR,"CAMIN CULTURAL",616,TĂRCAIA,31609,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:43",365,316,0,40,9,311,262,0,40,9,300,11,360,35,10,261,23,1,5
5,BIHOR,"CAMIN CULTURAL",617,TĂRCAIA,31609,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:25:32",222,205,0,8,9,192,175,0,8,9,184,8,239,47,6,105,60,3,10
5,BIHOR,"PRIMARIA TARCAIA",614,TĂRCAIA,31609,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:01",931,862,3,30,36,720,653,1,30,36,711,9,986,266,412,199,3,62,35
5,BIHOR,"SCOALA CU CLASELE I-IV",615,TĂRCAIA,31609,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:43:37",173,143,0,21,9,144,114,0,21,9,138,6,168,24,4,100,32,0,2
