precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PNL - PRO ROMÂNIA-voturi","KŰRTI GÁBOR-voturi"
32,"SATU MARE","CĂMIN CULTURAL BABȚA",151,BOGDAND,137130,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:01",526,478,0,22,26,351,303,0,22,26,335,15,556,205,75,29,5,225,1
32,"SATU MARE","PRIMARIA COMUNEI BOGDAND",150,BOGDAND,137130,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:16",780,753,0,3,24,436,409,0,3,24,417,19,800,364,7,4,341,10,55
32,"SATU MARE","ŞCOALA CU CLASELE I-IV",153,BOGDAND,137130,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:18:27",569,548,0,9,12,288,267,0,9,12,268,20,600,312,7,13,199,45,4
32,"SATU MARE","ŞCOALA CU CLASELE I-VIII",152,BOGDAND,137130,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:14",381,358,0,8,15,250,227,0,8,15,236,14,400,150,18,112,5,96,5
