precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GIOABĂ NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","IACOB GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞERBAN MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MANEA LUCIAN-VALERICĂ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PĂDUROIU VIOREL-MIRCEA-PARTIDUL S.O.S. ROMÂNIA-voturi"
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL BUDIȘTENI",223,COSTEŞTI,46484,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:53",379,376,0,3,0,219,216,0,3,0,214,5,410,191,161,7,41,3,2
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL PIETROSU",225,COSTEŞTI,46484,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:34",1058,1055,0,3,0,467,464,0,3,0,447,20,1160,693,320,12,97,14,4
10,BUZĂU,"ȘCOALA GIMNAZIALĂ COSTEȘTI",222,COSTEŞTI,46484,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:52:11",1304,1292,2,10,0,719,709,0,10,0,694,25,1420,701,527,13,131,6,17
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”GENERAL ȘTEFAN GUȘĂ” SPĂTARU",226,COSTEŞTI,46484,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:00",1180,1169,3,7,1,644,636,0,7,1,624,20,1283,639,381,42,150,33,18
10,BUZĂU,"ŞCOALA PRIMARĂ GOMOEȘTI",224,COSTEŞTI,46484,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:48:50",181,176,0,5,0,118,113,0,5,0,115,3,200,82,54,6,45,3,7
