precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","LIGA PENTRU DEȘTEPTAREA ROMÂNIEI-voturi","PARTIDUL OAMENILOR TINERI-voturi","ADAM ALEXANDRU-MIHAI-voturi","AVRAM MARINEL-voturi","NICOARĂ ANDREI-DANIEL-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL SÂNTANDREI",245,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:08",915,911,1,2,1,488,485,0,2,1,464,24,1000,512,8,22,53,191,111,3,2,2,68,4
22,HUNEDOARA,"CASA SATULUI UROI",247,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:52:44",528,510,10,8,0,297,289,0,8,0,283,14,564,267,4,14,28,115,90,1,9,3,3,16
22,HUNEDOARA,"CLĂDIRE MULTIFUNCȚIONALĂ DIN CADRUL PARCULUI DE AFACERI SIMERIA",241,"ORAŞ SIMERIA",87665,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:01:56",1383,1365,0,16,2,699,681,0,16,2,676,23,1510,811,17,70,56,295,183,9,14,11,5,16
22,HUNEDOARA,"CLĂDIRE MULTIFUNCȚIONALĂ DIN CADRUL PARCULUI DE AFACERI SIMERIA",242,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:59",997,983,3,9,2,534,522,1,9,2,516,16,1085,551,9,46,71,188,156,10,6,10,6,14
22,HUNEDOARA,"COLEGIUL TEHNIC DE TRANSPORT FEROVIAR ”ANGHEL SALIGNY” SIMERIA",244,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:29:18",1228,1212,5,10,1,591,580,0,10,1,559,32,1335,744,9,43,75,216,173,8,7,14,7,7
22,HUNEDOARA,"GRADINITA CU PROGRAM NORMAL NR.1 SIMERIA",240,"ORAŞ SIMERIA",87665,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 16:49:05",1455,1444,0,10,1,791,780,0,10,1,753,38,1600,809,9,51,70,342,201,21,11,17,14,17
22,HUNEDOARA,"OCOLUL SILVIC SIMERIA",243,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:20",1397,1375,0,19,3,706,684,0,19,3,681,25,1510,804,19,55,79,248,195,7,15,42,6,15
22,HUNEDOARA,"SCOALA GENERALA SIMERIA VECHE",246,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:34",345,331,2,11,1,197,185,0,11,1,190,7,360,163,3,14,20,84,52,1,8,2,2,4
22,HUNEDOARA,"SCOALA GIMNAZIALA ”SIGISMUND TODUTA ” SIMERIA",239,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:37",1438,1422,2,10,4,775,761,0,10,4,746,29,1580,805,13,71,79,284,212,16,19,21,5,26
22,HUNEDOARA,"SCOALA GIMNAZIALA ”SIGISMUND TODUTA ” SIMERIA",238,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:53:17",1413,1393,2,9,9,787,769,0,9,9,778,9,1600,813,20,69,92,286,238,24,15,11,6,17
