precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ADAM GEORGE-RELU-PARTIDUL NAȚIONAL LIBERAL-voturi","MĂRGĂRIT MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂLESCU RADU-ŞTEFAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CLUBUL PRIMĂRIEI BOLDU",161,BOLDU,45361,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:49",932,911,0,5,16,595,574,0,5,16,583,12,944,349,131,420,32
10,BUZĂU,"ȘCOALA GIMNAZIALĂ BOLDU",162,BOLDU,45361,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:21:58",813,765,1,13,34,523,476,0,13,34,506,17,950,427,82,388,36
