precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 UMBRĂREȘTI-DEAL",425,UMBRĂREŞTI,77402,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:07:31",1015,1010,0,5,0,532,527,0,5,0,498,29,1111,579,39,205,232,15,7
18,GALAŢI,"GRADINIȚA SALCIA",422,UMBRĂREŞTI,77402,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:14:20",710,704,1,4,1,330,325,0,4,1,309,21,775,445,28,131,137,5,8
18,GALAŢI,"GRADINIȚA TORCEȘTI",424,UMBRĂREŞTI,77402,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:03:27",604,599,0,4,1,360,355,0,4,1,346,13,660,299,14,136,176,18,2
18,GALAŢI,MUZEU,423,UMBRĂREŞTI,77402,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:17:04",259,256,0,3,0,133,130,0,3,0,128,5,282,149,9,39,73,2,5
18,GALAŢI,"ȘCOALA GIMNAZIALĂ CONDREA",421,UMBRĂREŞTI,77402,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:43:52",579,574,0,4,1,282,277,0,4,1,275,7,630,348,70,70,114,0,21
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR. 1 UMBRĂREȘTI",420,UMBRĂREŞTI,77402,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:16:49",1708,1700,0,2,6,804,796,0,2,6,771,33,1870,1066,41,324,377,20,9
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR.2 „SFÂNTUL STELIAN„ UMBRĂREȘTI - DEAL",426,UMBRĂREŞTI,77402,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:50",1006,998,1,7,0,513,506,0,7,0,504,9,1094,581,19,276,190,13,6
