precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OBRETIN VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","SPĂLATU COSTEL-PARTIDUL NAȚIONAL LIBERAL-voturi","HRISTACHE FLORIN-FORȚA DREPTEI-voturi"
19,GIURGIU,"ŞCOALA GENERALĂ NR. 2 RĂSUCENI",194,RĂSUCENI,104788,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:35",295,267,0,8,20,194,166,0,8,20,192,2,312,118,7,180,5
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN STĂNCESCU”",193,RĂSUCENI,104788,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:59",764,632,0,60,72,525,393,0,60,72,521,4,776,251,31,466,24
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.1 CUCURUZU",195,RĂSUCENI,104788,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:05:30",632,599,0,19,14,454,421,0,19,14,439,15,673,219,13,407,19
