precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞOTAE EUGEN-PARTIDUL SOCIAL DEMOCRAT-voturi","CACIPU MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PUŞCOCI NICU-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"LICEUL TEHNOLOGIC TUFENI",344,TUFENI,129585,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:17:48",1139,1068,0,57,14,681,648,0,19,14,657,24,1261,458,484,113,60
30,OLT,"ŞCOALA STOBORĂŞTI",345,TUFENI,129585,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:10:57",918,902,0,5,11,464,448,0,5,11,455,9,1008,544,281,129,45
