precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MATEI CRISTINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GUŢĂ CONSTANŢA-DANIELA-PARTIDUL NAȚIONAL LIBERAL-voturi","VASILE ALEXANDRU-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","OPREA ELIZA-SILVIA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ SFINȚII ÎMPĂRAȚI BALTA DOAMNEI",308,"BALTA DOAMNEI",132226,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:05",1166,1157,2,7,0,753,745,1,7,0,741,12,1237,484,331,25,327,58
31,PRAHOVA,"ȘCOALA PRIMARĂ DIN BÎRA",309,"BALTA DOAMNEI",132226,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:44:09",714,707,1,6,0,360,354,0,6,0,348,10,800,440,126,75,134,13
