precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAGDA ADRIAN-MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZA IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi"
5,BIHOR,"CĂMINUL CULTURAL",276,BUDUREASA,27846,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:33:59",319,310,0,4,5,240,231,0,4,5,237,3,341,100,191,46
5,BIHOR,"CĂMINUL CULTURAL",274,BUDUREASA,27846,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:23:06",847,820,3,9,15,646,621,1,9,15,627,19,905,259,319,308
5,BIHOR,"CĂMINUL CULTURAL",278,BUDUREASA,27846,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:05:18",198,191,0,7,0,155,148,0,7,0,153,2,207,52,96,57
5,BIHOR,"CĂMINUL CULTURAL",277,BUDUREASA,27846,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:39:19",163,160,0,3,0,129,126,0,3,0,126,3,173,44,74,52
5,BIHOR,"CĂMINUL CULTURAL",279,BUDUREASA,27846,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:09:34",124,120,0,1,3,101,97,0,1,3,101,0,132,31,74,27
5,BIHOR,"ȘCOALA I-IV BUDUREASA",275,BUDUREASA,27846,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:04",464,458,0,6,0,401,395,0,6,0,369,32,518,117,180,189
