precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGRU MĂDĂLINA-PARTIDUL SOCIAL DEMOCRAT-voturi","PETRE VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞTEFAN MARIA-voturi"
14,CONSTANŢA,"CONSILIULUI LOCAL TÎRGUȘOR",540,TÂRGUŞOR,62985,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:34:43",1056,1030,2,15,9,778,753,1,15,9,756,22,1146,368,478,263,15
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR.2 MIREASA",541,TÂRGUŞOR,62985,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:48:35",272,252,0,18,2,179,159,0,18,2,176,3,275,96,112,64,0
