precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
41,VRANCEA,"CAMIN CULTURAL PĂULEȘTI",236,PĂULEŞTI,178910,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:39",583,570,0,2,11,377,364,0,2,11,355,22,640,263,180,64,5,82,20,4
41,VRANCEA,"CĂMINUL CULTURAL HĂULIȘCA",238,PĂULEŞTI,178910,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:48",524,514,0,3,7,331,321,0,3,7,310,21,573,242,153,71,26,36,14,10
41,VRANCEA,"ŞCOALA CU CLASELE I-IV FUNDATURA",237,PĂULEŞTI,178910,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 13:24:47",433,427,0,2,4,266,260,0,2,4,253,13,476,210,95,101,8,29,16,4
