precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","FORȚA DREPTEI-voturi","PETRE-MARDALE IONUŢ-voturi","IVAN VALENTIN-MĂDĂLIN-voturi","SARIVAN MARIAN-CIPRIAN-voturi"
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII NR.1",175,CIOCILE,42968,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:42:23",699,691,0,2,6,450,442,0,2,6,416,34,800,350,136,8,175,3,11,18,46,19
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII NR.2 „ALEXANDRU TURTOI”",176,CIOCILE,42968,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:28",736,727,0,1,8,509,500,0,1,8,475,34,770,261,133,10,202,7,17,42,25,39
9,BRĂILA,"ȘCOALA PRIMARA PRI CHICHINEȚU",177,CIOCILE,42968,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:27",401,394,0,5,2,244,237,0,5,2,224,20,404,160,82,10,83,0,18,8,18,5
