precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SÎNPETREAN ALEXANDRU-GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","MOLDOVAN VASILE-IOAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","IVAN ERHARDT-LASZLO-PARTIDUL NAȚIONAL LIBERAL-voturi"
28,MUREŞ,"CĂMINUL CULTURAL PIPEA",459,NADEŞ,118469,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:06:22",43,36,0,7,0,25,18,0,7,0,24,1,50,25,12,2,10
28,MUREŞ,"ŞCOALA GIMNAZIALĂ CORPUL A NADEŞ",457,NADEŞ,118469,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:28",1188,1174,3,11,0,573,562,0,11,0,542,31,1275,702,352,41,149
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ŢIGMANDRU",460,NADEŞ,118469,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:00",957,939,2,15,1,527,509,2,15,1,500,27,1025,498,310,169,21
28,MUREŞ,"ŞCOALA PRIMARĂ MĂGHERUŞ",458,NADEŞ,118469,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:03:16",109,103,1,5,0,54,49,0,5,0,52,2,120,66,41,5,6
