precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi"
29,NEAMŢ,"PRIMARIA TUPILAŢI",462,TUPILAŢI,124750,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:06:50",595,591,0,0,4,368,364,0,0,4,341,27,700,332,8,42,15,189,9,41,37
29,NEAMŢ,"SCOALA CU CLASELE I-VIII",463,TUPILAŢI,124750,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:51",273,267,0,5,1,149,143,0,5,1,137,12,310,161,7,32,11,64,4,13,6
29,NEAMŢ,"SCOALA CU CLASELE I-VIII",461,TUPILAŢI,124750,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:07",872,865,1,3,3,510,504,0,3,3,475,30,900,395,33,90,13,229,19,32,59
