precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PUSKÁS ELEMÉR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ÖRSI SANDOR-voturi"
21,HARGHITA,"CĂMINUL CULTURAL „FERENCZI LÁSZLÓ”",138,DITRĂU,84344,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:08:43",512,497,1,1,13,277,262,1,1,13,274,3,600,323,273,1
21,HARGHITA,"GRADINITA CU PROGRAM NORMAL ”CSIGABIGA” DITRĂU",135,DITRĂU,84344,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:36:49",847,835,1,3,8,424,413,0,3,8,411,13,900,476,339,72
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „CSIBY ANDOR” DITRĂU „KOHID”",136,DITRĂU,84344,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:56:28",914,899,2,0,13,483,470,0,0,13,472,11,1000,517,359,113
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „DR. CSIBY ANDOR” DITRĂU",137,DITRĂU,84344,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:43",874,865,5,0,4,469,465,0,0,4,456,13,1000,531,348,108
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „SIKLODY LORINC” DITRĂU",134,DITRĂU,84344,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:35:27",1577,1552,0,0,25,822,797,0,0,25,760,37,1600,803,605,155
