precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞUTEU VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞTEFAN FLORIN-CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CUCUTA FLORENTIN-PETRU-UNIUNEA SALVAȚI ROMÂNIA-voturi"
28,MUREŞ,"CĂMINUL CULTURAL POGĂCEAUA",484,POGĂCEAUA,118824,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:00:33",1118,1080,0,8,30,805,767,0,8,30,759,46,1182,377,274,480,5
28,MUREŞ,"ȘCOALA PRIMARĂ ”VASILE FLOREA” VĂLENI",485,POGĂCEAUA,118824,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:46:58",437,422,0,6,9,309,294,0,6,9,300,9,460,151,81,216,3
