precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ BĂRBĂTEŞTI",146,BĂRBĂTEŞTI,78828,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:12",686,654,0,22,10,450,418,0,22,10,432,18,700,250,218,108,56,7,43
20,GORJ,"ŞCOALA PRIMARĂ PETREŞTI",147,BĂRBĂTEŞTI,78828,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:28:02",629,594,0,19,16,403,368,0,19,16,390,13,702,299,251,73,23,35,8
