precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GOVOR MIRCEA-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","COZMA ADRIAN-FELICIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PATAKI CSABA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","POP LIVIU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","DEAC VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi","CSORDAŞ ŞTEFAN-FORȚA DREPTEI-voturi"
32,"SATU MARE","AFTER SCHOOL, MARTINESTI NR. 51",246,ODOREU,138280,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:14:40",1035,1022,4,8,1,567,557,1,8,1,558,9,1200,633,72,205,216,42,6,17
32,"SATU MARE","ASOCIAŢIA CARITAS SATU MARE CANTRUL SOCIAL DESCHIS LA CASA PRIETENIEI",3,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:34:31",1005,992,2,10,1,439,427,1,10,1,426,13,1100,661,75,115,191,23,9,13
32,"SATU MARE","ASOCIAŢIA JUDEŢEANĂ DE FOTBAL ( ŞC. NR.15 )",46,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 12:59:51",1951,1917,12,10,12,1097,1072,3,10,12,1067,30,2100,1003,83,145,780,36,9,14
32,"SATU MARE","BIBLIOTECA ARDUD",90,"ORAŞ ARDUD",136848,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:58:08",1605,1598,0,6,1,708,701,0,6,1,583,125,1711,1003,59,194,259,25,12,34
32,"SATU MARE","BOINESTI SCOALA GENERALA",147,BIXAD,137069,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:40:57",1465,1429,0,26,10,733,697,0,26,10,625,108,1574,841,134,274,29,84,28,76
32,"SATU MARE","CAMIN CULTURAL",270,POMI,138618,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:09:10",121,110,0,8,3,87,76,0,8,3,80,7,130,43,54,16,3,3,0,4
32,"SATU MARE","CAMIN CULTURAL",172,CEHAL,137363,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:40",486,473,2,7,4,336,323,2,7,4,321,15,501,165,35,22,242,14,4,4
32,"SATU MARE","CAMIN CULTURAL",120,ACÂŞ,136713,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:44:55",1565,1547,3,8,7,869,854,0,8,7,763,104,1663,796,98,167,455,10,28,5
32,"SATU MARE","CAMIN CULTURAL",269,POMI,138618,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:49:34",83,66,0,13,4,61,44,0,13,4,60,1,92,31,37,16,0,4,1,2
32,"SATU MARE","CAMIN CULTURAL ATEA",199,DOROLŢ,137675,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:36:00",317,305,0,2,10,209,197,0,2,10,196,13,350,141,3,0,191,0,2,0
32,"SATU MARE","CĂMIN CULTURAL BABȚA",151,BOGDAND,137130,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:47:29",526,478,0,22,26,351,303,0,22,26,325,26,561,210,75,234,7,4,1,4
32,"SATU MARE","CĂMIN CULTURAL BERCU",221,LAZURI,137960,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:51:14",500,486,0,1,13,296,282,0,1,13,288,8,550,254,5,5,278,0,0,0
32,"SATU MARE","CĂMIN CULTURAL BORLEŞTI",271,POMI,138618,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:32:45",679,619,1,47,12,426,366,1,47,12,400,26,680,254,266,95,3,13,16,7
32,"SATU MARE","CĂMIN CULTURAL CHILIA",215,HOMOROADE,137899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:37:02",191,167,0,16,8,119,95,0,16,8,113,6,200,81,57,48,2,3,2,1
32,"SATU MARE","CĂMIN CULTURAL CIONCHEŞTI",338,"VIILE SATU MARE",139394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:11:34",308,295,0,5,8,196,183,0,5,8,190,6,329,133,39,104,27,7,8,5
32,"SATU MARE","CĂMIN CULTURAL COMLĂUȘA",133,BĂTARCI,136919,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:03:22",872,863,2,2,5,365,358,0,2,5,336,29,937,572,99,184,3,4,9,37
32,"SATU MARE","CĂMIN CULTURAL COROD",190,CULCIU,137540,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 01:44:27",414,405,0,6,3,240,231,0,6,3,229,11,452,212,50,42,124,4,5,4
32,"SATU MARE","CĂMIN CULTURAL DACIA",195,DOBA,137611,7,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:54:31",146,134,0,6,6,110,98,0,6,6,104,6,160,50,44,43,2,5,7,3
32,"SATU MARE","CĂMIN CULTURAL GHERȚA MICĂ",204,"GHERŢA MICĂ",137746,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:30:06",1340,1318,0,9,13,515,493,0,9,13,472,43,1453,938,185,179,4,14,23,67
32,"SATU MARE","CĂMIN CULTURAL HOMORODU DE JOS",216,HOMOROADE,137899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:19:39",303,292,0,5,6,151,140,0,5,6,147,4,314,163,62,50,18,6,10,1
32,"SATU MARE","CĂMIN CULTURAL NECOPOI",217,HOMOROADE,137899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:10:51",178,162,0,8,8,108,92,0,8,8,102,6,190,82,39,37,10,11,2,3
32,"SATU MARE","CĂMIN CULTURAL NOROIENI",223,LAZURI,137960,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:26:50",328,328,0,0,0,149,149,0,0,0,145,4,400,251,24,21,87,4,6,3
32,"SATU MARE","CAMIN CULTURAL NOU",219,LAZURI,137960,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:59:40",1467,1452,1,4,10,840,826,0,4,10,824,16,1600,760,56,50,681,16,10,11
32,"SATU MARE","CĂMIN CULTURAL PĂULEȘTI",254,PĂULEŞTI,138431,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 00:30:29",1751,1705,11,33,2,1001,964,2,33,2,990,11,1917,916,124,448,333,47,19,19
32,"SATU MARE","CAMIN CULTURAL PETEA",201,DOROLŢ,137675,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:14:52",368,360,1,0,7,211,204,0,0,7,196,15,410,199,10,6,177,1,0,2
32,"SATU MARE","CĂMIN CULTURAL POMI",268,POMI,138618,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:35:17",737,685,2,23,27,490,439,1,23,27,454,36,750,260,207,170,13,15,25,24
32,"SATU MARE","CĂMIN CULTURAL RESIGHEA",266,PIŞCOLT,138574,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:09:36",356,347,0,6,3,205,196,0,6,3,194,11,385,180,57,88,25,6,5,13
32,"SATU MARE","CĂMIN CULTURAL SAT HOREA",279,SANISLĂU,138663,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:49:31",123,109,0,9,5,75,61,0,9,5,66,9,144,69,0,35,7,8,5,11
32,"SATU MARE","CĂMIN CULTURAL SAT MARNA NOUĂ",280,SANISLĂU,138663,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:07:39",288,280,1,7,0,173,165,1,7,0,171,2,331,158,24,131,4,1,6,5
32,"SATU MARE","CĂMIN CULTURAL SCĂRIȘOARA NOUĂ",267,PIŞCOLT,138574,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:04:19",325,309,0,12,4,206,190,0,12,4,193,13,344,138,39,109,3,15,13,14
32,"SATU MARE","CĂMIN CULTURAL SECHEREȘA",300,SUPUR,138921,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:12:38",56,50,0,6,0,33,27,0,6,0,31,2,100,67,4,6,21,0,0,0
32,"SATU MARE","CAMIN CULTURAL SOCONZEL",293,SOCOND,138869,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 11:47:52",259,202,0,30,27,213,156,0,30,27,211,2,259,46,66,127,7,3,6,2
32,"SATU MARE","CĂMIN CULTURAL SOLDUBA",218,HOMOROADE,137899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:33:44",219,194,0,16,9,138,113,0,16,9,133,5,233,95,56,53,8,8,4,4
32,"SATU MARE","CĂMIN CULTURAL TĂMĂŞENI",134,BĂTARCI,136919,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:01:20",332,311,1,9,11,225,204,1,9,11,212,13,400,175,17,7,185,0,0,3
32,"SATU MARE","CĂMIN CULTURAL TRAIAN",197,DOBA,137611,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:14:46",173,166,0,5,2,96,89,0,5,2,95,1,180,84,40,36,9,4,5,1
32,"SATU MARE","CAMIN CULTURAL URZICENI",323,URZICENI,139250,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:50:55",1093,1055,3,4,31,684,648,1,4,31,662,22,1196,512,24,10,610,11,4,3
32,"SATU MARE","CĂMIN CULTURAL URZICENI PĂDURE",324,URZICENI,139250,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:33:06",158,147,2,5,4,97,88,0,5,4,81,16,169,72,5,16,59,0,1,0
32,"SATU MARE","CAMINUL CULTURAL",237,MOFTIN,138208,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:53:47",1059,1030,3,12,14,638,612,0,12,14,610,28,1400,762,324,96,151,13,15,11
32,"SATU MARE","CAMINUL CULTURAL",196,DOBA,137611,6,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:06:41",441,422,0,13,6,251,239,0,6,6,232,19,470,219,64,105,29,13,17,4
32,"SATU MARE","CĂMINUL CULTURAL",170,CĂUAŞ,137292,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:25:03",134,124,0,7,3,95,85,0,7,3,93,2,140,45,7,77,3,4,2,0
32,"SATU MARE","CĂMINUL CULTURAL",179,CIUMEŞTI,179882,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:36:39",1130,1108,2,4,16,659,639,0,4,16,628,31,1215,556,20,13,579,7,3,6
32,"SATU MARE","CĂMINUL CULTURAL",167,CĂUAŞ,137292,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 23:59:11",108,98,0,10,0,58,48,0,10,0,53,5,110,52,13,11,23,3,2,1
32,"SATU MARE","CĂMINUL CULTURAL",168,CĂUAŞ,137292,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:22:38",1036,1009,1,3,23,671,645,0,3,23,627,44,1097,426,69,59,462,6,7,24
32,"SATU MARE","CĂMINUL CULTURAL AMAȚI",255,PĂULEŞTI,138431,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:27:52",953,940,0,12,1,498,485,0,12,1,476,22,998,500,38,317,97,8,13,3
