precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GALBENU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SANDU DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PRUTEANU ROMICĂ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LĂUTĂRESCU ADRIANA-PARTIDUL S.O.S. ROMÂNIA-voturi"
10,BUZĂU,"GRADINITA CU PROGRAM NORMAL RUBLA",400,"VALEA RÂMNICULUI",50022,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:21:24",912,901,1,6,4,550,540,0,6,4,544,6,991,441,457,47,9,31
10,BUZĂU,"ȘCOALA GIMNAZIALĂ OREAVUL",399,"VALEA RÂMNICULUI",50022,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:14:31",1814,1795,3,12,4,941,925,0,12,4,927,14,2000,1059,721,57,111,38
10,BUZĂU,"SCOALA GIMNAZIALA VALEA RAMNICULUI",398,"VALEA RÂMNICULUI",50022,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:13:25",1790,1762,2,8,18,979,952,1,8,18,956,23,1975,996,791,75,45,45
