precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ARDELEANU IONUŢ - ALIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MIHAIU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","MOCANU NEAGU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BERTEŞTEANU MIRCEA - TUDOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","HORNEŢ GEORGEL-PARTIDUL ECOLOGIST ROMÂN-voturi","CONSTANTIN ELENA-PARTIDUL S.O.S. ROMÂNIA-voturi"
9,BRĂILA,"CĂMINUL CULTURAL COMĂNEASCA",258,"TUDOR VLADIMIRESCU",44257,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:18",173,166,0,7,0,110,103,0,7,0,103,7,184,74,43,28,2,25,2,3
9,BRĂILA,"CĂMINUL CULTURAL SCORȚARU VECHI",259,"TUDOR VLADIMIRESCU",44257,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:44",742,733,5,4,0,448,444,0,4,0,431,17,817,369,147,119,11,144,3,7
9,BRĂILA,"ȘCOALA GIMNAZIALĂ TUDOR VLADIMIRESCU",257,"TUDOR VLADIMIRESCU",44257,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:48",776,766,0,10,0,423,413,0,10,0,406,17,844,421,87,132,22,134,15,16
