precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA TIMIȘOARA UNITĂ USR - PMP - FORȚA DREPTEI - UDMR-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:18",717,632,77,8,0,285,272,5,8,0,281,4,1100,815,101,28,6,0,1,11,7,1,122,4
37,TIMIŞ,"CENTRUL DE SOCIALIZARE ȘI PETRECERE A TIMPULUI LIBER - CLUBUL PENSIONARILOR",61,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:40",1295,1282,4,9,0,447,438,0,9,0,437,10,1300,853,123,45,31,5,4,21,7,2,196,3
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”CONSTANTIN PUFAN”",156,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:46",1171,1131,26,13,1,523,508,1,13,1,510,13,1200,677,208,40,12,5,3,19,4,5,210,4
37,TIMIŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",189,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:10",1010,987,2,20,1,407,386,0,20,1,381,10,1100,709,126,64,9,3,7,18,3,1,143,7
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",188,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:04",1122,1104,7,11,0,355,343,1,11,0,347,7,1200,846,104,32,21,2,6,11,2,6,159,4
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",187,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:42",1084,1072,2,8,2,330,318,2,8,2,317,11,1100,770,100,53,12,1,1,15,3,1,125,6
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",186,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:02:37",1125,1113,5,7,0,399,392,0,7,0,385,14,1200,801,97,47,14,3,10,19,4,2,181,8
37,TIMIŞ,"CLUBUL SPORTIV ŞCOLAR NR.1",40,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:20",858,842,4,12,0,374,362,0,12,0,363,11,900,526,128,25,12,2,3,18,4,1,168,2
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",71,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:06:49",1212,1179,8,24,1,540,514,1,24,1,529,10,1200,658,168,60,18,4,3,20,7,2,239,8
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",69,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:16:41",1067,1051,1,13,2,377,361,1,13,2,368,9,1200,823,146,36,18,7,11,20,3,0,121,6
