precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRILĂ NICU-PARTIDUL SOCIAL DEMOCRAT-voturi","GRIGORAŞ MILUC-PARTIDUL NAȚIONAL LIBERAL-voturi","RADU IOAN-UNIUNEA SALVAȚI ROMÂNIA-voturi"
29,NEAMŢ,"FOSTA SCOALĂ BOZIENII DE SUS",402,RUGINOASA,125105,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:12:20",293,245,0,12,36,214,169,0,12,33,209,5,400,186,88,108,13
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ” NICOLAE APOSTOL ” RUGINOASA",401,RUGINOASA,125105,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:34",633,554,1,22,56,458,382,0,22,54,445,13,659,201,107,253,85
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ” NICOLAE APOSTOL” RUGINOASA",400,RUGINOASA,125105,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:24:51",593,538,0,12,43,443,388,0,12,43,435,8,592,149,95,261,79
