precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PETREA PAUL-voturi","BUCHIR COSTEL-voturi"
4,BACĂU,"CĂMINUL CULTURAL BOANŢA",347,FILIPEŞTI,22576,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:17:25",268,252,0,15,1,146,130,0,15,1,135,11,307,161,11,83,21,5,15
4,BACĂU,"CASA DE CULTURA ”RADU BELIGAN” FILIPESTI",346,FILIPEŞTI,22576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:05",897,834,4,51,8,509,450,0,51,8,491,18,900,391,27,205,146,44,69
4,BACĂU,"CENTRU CULTURAL HÂRLEȘTI",350,FILIPEŞTI,22576,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:05:11",681,657,0,21,3,430,406,0,21,3,416,14,700,270,16,318,75,2,5
4,BACĂU,"CENTRU MULTIFUNCȚIONAL ONIȘCANI",351,FILIPEŞTI,22576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:30",429,410,0,17,2,246,227,0,17,2,229,17,500,254,9,172,26,5,17
4,BACĂU,"ŞCOALA CÎRLIGI",348,FILIPEŞTI,22576,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:31:17",893,860,1,27,5,515,483,0,27,5,494,21,900,385,24,281,133,12,44
4,BACĂU,"ŞCOALA GALBENI",349,FILIPEŞTI,22576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:04",665,650,0,14,1,342,327,0,14,1,330,12,700,358,12,199,100,8,11
