precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","FLOREA POMPILIUS-voturi"
31,PRAHOVA,"CĂMINUL CULTURAL ”GEO BOGZA”, SAT PLOIEȘTIORI, NR. 174 B",336,BLEJOI,130678,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:43:01",2214,2165,34,15,0,985,970,0,15,0,953,32,2400,1415,407,139,85,25,145,116,36
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL BLEJOI, SAT BLEJOI, NR. 511",334,BLEJOI,130678,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:34",1613,1595,4,12,2,935,921,0,12,2,918,17,1800,865,329,346,76,59,75,20,13
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL PLOIEȘTIORI, SAT PLOIEȘTIORI, NR. 537",335,BLEJOI,130678,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:54",1190,1173,4,13,0,673,660,0,13,0,664,9,1300,627,304,111,71,9,75,76,18
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL ȚÎNȚĂRENI, SAT ȚÎNȚĂRENI, NR. 232 E",337,BLEJOI,130678,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:07",1459,1451,2,5,1,723,717,0,5,1,698,25,1565,842,362,104,74,16,75,45,22
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”RADU TUDORAN” BLEJOI, SAT BLEJOI, NR. 510",333,BLEJOI,130678,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:09:12",1652,1629,1,13,9,963,941,0,13,9,933,30,1800,837,406,185,115,44,116,39,28
