precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GLĂVAN ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞERCĂU GHEORGHE-UNIUNEA SALVAȚI ROMÂNIA-voturi","IONELE GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","CIOBOATĂ LAURENŢIU-PARTIDUL S.O.S. ROMÂNIA-voturi"
17,DOLJ,"BIBLIOTECA ORASENEASCA BECHET",202,"ORAŞ BECHET",70879,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:24:53",1303,1265,0,17,21,564,526,0,17,21,528,36,1400,836,314,48,159,7
17,DOLJ,"LICEUL TEORETIC BECHET",200,"ORAŞ BECHET",70879,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:47:23",1453,1402,0,22,29,693,642,0,22,29,670,23,1545,852,348,52,253,17
17,DOLJ,"SCOALA PRIMARA BECHET VALE",201,"ORAŞ BECHET",70879,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:49",677,634,0,18,25,412,369,0,18,25,386,26,700,288,239,33,110,4
