precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SÎNGEORZAN ŞTEFAN-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FELDRU",136,FELDRU,33248,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:35",1346,1331,1,5,9,670,656,0,5,9,643,27,1450,780,209,244,90,35,65
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC FELDRU",135,FELDRU,33248,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:35:56",1360,1350,0,4,6,657,647,0,4,6,629,28,1500,843,298,235,50,21,25
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI FELDRU",134,FELDRU,33248,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:13:15",1464,1446,4,10,4,734,720,0,10,4,710,24,1600,866,299,231,111,23,46
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GENERALĂ CLASELE I - IV NEPOS",138,FELDRU,33248,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:29:47",1553,1532,2,6,13,754,734,1,6,13,717,21,1598,844,463,224,2,25,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ PODEREE",137,FELDRU,33248,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:58",410,399,0,7,4,220,209,0,7,4,211,9,450,230,105,74,13,5,14
