precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",321,GIULEŞTI,108151,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:03:31",1061,1027,0,4,30,642,608,0,4,30,625,17,1150,508,409,38,119,59
26,MARAMUREŞ,"ȘCOALA CU CLASELE I-VIII",322,GIULEŞTI,108151,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:53",1276,1225,0,6,45,841,790,0,6,45,809,32,1318,477,533,68,35,173
26,MARAMUREŞ,"ŞCOALA GENERALĂ",323,GIULEŞTI,108151,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:56:09",390,370,0,1,19,282,262,0,1,19,266,16,450,168,169,11,30,56
