precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRESCU IULIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MARANCEA IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CIOBANU FLORIN-ROBERT-PARTIDUL NAȚIONAL LIBERAL-voturi","MARANCEA ILEANA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"LICEUL TEHNOLOGIC ION POPESCU CILIENI",154,CILIENI,126148,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:41:48",1288,1262,0,0,26,741,715,0,0,26,719,22,1417,676,138,502,64,15
30,OLT,"LICEUL TEHNOLOGIC ION POPESCU CILIENI",153,CILIENI,126148,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:45:56",1252,1240,0,1,11,688,677,0,1,10,671,17,1415,727,105,447,101,18
