precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOŞESCU ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","IONESCU ION-PARTIDUL SOCIAL DEMOCRAT-voturi"
9,BRĂILA,"SCOALA GIMNAZIALA MIRCEA VODA, JUDETUL BRAILA",211,"MIRCEA VODĂ",43625,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:00",1020,976,1,10,33,619,576,0,10,33,610,9,1128,509,465,145
9,BRĂILA,"SCOALA GIMNAZIALA MIRCEA VODA, JUDEȚUL BRAILA",210,"MIRCEA VODĂ",43625,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:34",917,876,8,13,20,585,552,0,13,20,562,23,900,315,445,117
9,BRĂILA,"SCOALA GIMNAZIALA SAT DEDULESTI",212,"MIRCEA VODĂ",43625,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:00",633,582,0,10,41,462,411,0,10,41,441,21,700,238,129,312
