precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
5,BIHOR,"CĂMINUL CULTURAL",349,"CRIŞTIORU DE JOS",28889,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:10:06",71,57,0,13,1,50,36,0,13,1,49,1,70,20,4,17,23,5
5,BIHOR,"CĂMINUL CULTURAL",350,"CRIŞTIORU DE JOS",28889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:07",386,339,0,38,9,298,251,0,38,9,284,14,326,28,8,134,116,26
5,BIHOR,"CĂMINUL CULTURAL",348,"CRIŞTIORU DE JOS",28889,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:44:50",288,254,0,22,12,213,179,0,22,12,206,7,307,94,14,63,121,8
5,BIHOR,"ȘCOALA GIMNAZIALĂ NR. 1 SĂLIȘTE DE VAȘCĂU",351,"CRIŞTIORU DE JOS",28889,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:23:15",346,305,1,32,8,271,230,1,32,8,258,13,342,68,28,119,104,7
