precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FODOR ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
15,COVASNA,"CĂMIN CULTURAL ZĂLAN",106,BODOC,63893,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:17",533,523,1,0,9,297,288,0,0,9,291,6,600,303,291
15,COVASNA,"CĂMINUL CULTURAL DIN BODOC",104,BODOC,63893,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:02",935,916,3,1,15,629,612,1,1,15,621,8,997,368,621
15,COVASNA,"PAROHIA REFORMATĂ OLTENI",105,BODOC,63893,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:40",537,528,0,5,4,316,307,0,5,4,302,14,600,284,302
