precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SECRIERU IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CARDAŞ RĂZVAN-CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","SIMINCIUC MARINEL-FLORINEL-PARTIDUL MIȘCAREA POPULARĂ-voturi","TIMOFTE IONUŢ-PARTIDUL PRO ROMÂNIA-voturi"
24,IAŞI,"ȘCOALA GIMNAZIALĂ HĂRMĂNEȘTII VECHI",489,HĂRMĂNEŞTI,100326,3,PART,PRCNCT,P,P_SV,"2024-06-11 12:49:22",1313,1288,0,7,18,720,695,0,7,18,703,16,1482,763,261,105,11,326
24,IAŞI,"ŞCOALA HĂRMĂNEŞTII NOI",490,HĂRMĂNEŞTI,100326,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:41:29",768,755,0,9,4,389,376,0,9,4,381,8,800,411,251,25,25,80
