precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"BIBLIOTECA COMUNALA",350,MOVILENI,76745,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:42:20",1553,1525,2,10,16,735,709,0,10,16,658,77,1696,961,56,175,208,98,63,13,23,22
18,GALAŢI,"SCOALA NR.2 MOVILENI",351,MOVILENI,76745,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:49:33",1173,1141,0,13,19,585,553,0,13,19,533,52,1250,665,38,78,238,95,21,42,10,11
