precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NĂSTASĂ EUGEN-COSTINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BADIU CRISTINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITRIU EMILIAN-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","IONIŢĂ ION-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","NOROCEA ELEONORA-voturi"
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:50:04",1371,1358,3,6,4,806,795,1,6,4,788,18,1495,689,26,220,341,5,196
41,VRANCEA,"GRĂDINIȚA DE COPII - SALA II",120,BROŞTENI,175466,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:17",527,525,0,1,1,316,314,0,1,1,307,9,579,263,14,101,107,0,85
