precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROTARU ION-VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","MARTIN VIRGIL-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALA ”MARIN M. ȚICULESCU” BĂNEASA",69,BĂNEASA,101001,6,PART,PRCNCT,P,P_SV,"2024-06-11 16:17:46",1119,1082,1,10,26,745,709,0,10,26,723,22,1217,472,554,169
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ”REMUS BEGNESCU” PIETRELE",73,BĂNEASA,101001,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:29:41",824,751,2,31,40,596,525,0,31,40,579,17,870,274,484,95
19,GIURGIU,"ŞCOALA PIMARĂ NR.5 BĂNEASA",70,BĂNEASA,101001,3,PART,PRCNCT,P,P_SV,"2024-06-11 16:24:45",535,504,0,20,11,369,338,0,20,11,361,8,567,198,269,92
19,GIURGIU,"ŞCOALA PRIMARĂ NR.2 BĂNEASA",71,BĂNEASA,101001,5,PART,PRCNCT,P,P_SV,"2024-06-11 16:33:28",756,711,0,20,25,560,515,0,20,25,544,16,812,252,483,61
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 3 FRASINU",72,BĂNEASA,101001,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:38",328,305,0,9,14,213,190,0,9,14,207,6,349,136,175,32
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 6 SF. GHEORGHE",74,BĂNEASA,101001,5,PART,PRCNCT,P,P_SV,"2024-06-11 17:36:11",232,200,0,28,4,180,148,0,28,4,179,1,222,42,148,31
