precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NIŢĂ MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","IONIŢĂ SORIN-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","TUDORACHE BOGDAN-ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPRINESCU ALEXANDRU-RADU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LUNGU GHEORGHE-voturi"
16,DÂMBOVIŢA,"CĂMINUL CULTURAL GURA OCNIȚEI",256,"GURA OCNIŢEI",67595,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:52:25",1378,1374,0,0,4,668,664,0,0,4,644,24,1531,863,199,217,150,12,66
16,DÂMBOVIŢA,"CĂMINUL CULTURAL GURA OCNIȚEI",257,"GURA OCNIŢEI",67595,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:06:53",1505,1492,3,6,4,806,796,0,6,4,780,26,1640,834,152,355,184,37,52
16,DÂMBOVIŢA,"ȘCOALA CU CLASELE. I-VIII ADÂNCA",258,"GURA OCNIŢEI",67595,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:40",1494,1484,1,7,2,778,769,0,7,2,745,33,1630,852,177,244,271,23,30
16,DÂMBOVIŢA,"ȘCOALA CU CLASELE. I-VIII SĂCUENI",259,"GURA OCNIŢEI",67595,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:23",1531,1526,1,4,0,875,870,1,4,0,864,11,1680,805,217,263,346,22,16
