precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VOINEA VIOREL-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","STOICA COSTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","NEDELCU CRISTIAN-NAȚIUNE OAMENI ÎMPREUNĂ-voturi","FLOROIU CONSTANTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","ROŞCA MARIAN-FORȚA DREPTEI-voturi","MÎNDRESCU NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BORŢA NICUŞOR-LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
40,VÂLCEA,"COLEGIUL NAȚIONAL GIB MIHĂESCU",100,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,P,P_SV,"2024-06-13 09:31:43",1437,1425,1,11,0,717,706,0,11,0,699,18,1570,853,15,220,74,14,108,106,162
40,VÂLCEA,"GRĂDINIȚA CAPUL DEALULUI",105,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:44",754,738,2,8,6,387,373,0,8,6,371,16,820,433,10,70,33,4,41,118,95
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8",103,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:07",596,588,0,8,0,223,215,0,8,0,204,19,650,427,9,52,10,2,103,19,9
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2",96,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:38",1226,1215,0,11,0,554,543,0,11,0,544,10,1340,786,12,144,48,8,88,115,129
40,VÂLCEA,"GRĂDINIŢA I.C. BRĂTIANU",97,"MUNICIPIUL DRĂGĂŞANI",167981,3,PART,PRCNCT,P,P_SV,"2024-06-13 10:20:15",866,858,0,8,0,469,461,0,8,0,436,33,950,481,8,113,39,6,68,128,74
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",94,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:49",1328,1315,3,10,0,596,585,1,10,0,575,21,1450,854,2,162,85,5,70,132,119
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",95,"MUNICIPIUL DRĂGĂŞANI",167981,4,PART,PRCNCT,P,P_SV,"2024-06-12 17:56:00",1226,1216,2,8,0,541,533,0,8,0,513,28,1350,809,5,106,67,10,74,118,133
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU - ȘCOALA PROFESIONALĂ",101,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:01",1176,1165,0,11,0,603,592,0,11,0,548,55,1320,717,8,165,52,5,101,125,92
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 5",104,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,P,P_SV,"2024-06-11 20:36:36",695,690,0,5,0,351,346,0,5,0,337,14,760,409,13,101,32,3,46,39,103
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 8 (BÂRSANU)",102,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:11:30",841,832,0,7,2,455,446,0,7,2,440,15,920,465,6,118,41,2,72,101,100
40,VÂLCEA,"ŞCOALA NICOLAE BĂLCESCU",99,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,P,P_SV,"2024-06-11 20:20:16",1190,1173,1,15,1,650,634,0,15,1,640,10,1300,650,15,169,93,6,88,115,154
40,VÂLCEA,"ȘCOALA NICOLAE BĂLCESCU",98,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,P,P_SV,"2024-06-11 20:04:50",1172,1161,1,10,0,608,598,0,10,0,596,12,1280,672,33,156,62,14,95,112,124
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",93,"MUNICIPIUL DRĂGĂŞANI",167981,4,PART,PRCNCT,P,P_SV,"2024-06-11 21:01:09",1170,1159,1,9,1,583,573,0,9,1,570,13,1270,687,10,166,63,22,92,105,112
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",92,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,P,P_SV,"2024-06-11 20:25:25",1282,1269,0,13,0,669,656,0,13,0,648,21,1400,731,19,171,119,26,85,97,131
40,VÂLCEA,"ȘCOALA ZLĂTĂREI",106,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,P,P_SV,"2024-06-11 20:15:37",1164,1157,3,4,0,638,633,1,4,0,613,25,1270,632,5,174,88,5,74,76,191
