precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRIŞAN DRAGOŞ-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","BADEA IULIA-ADRIANA-OANA-PARTIDUL NAȚIONAL LIBERAL-voturi","PLĂCINTĂ COSMIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FLUERAŞ MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"CĂMINUL CULTURAL PĂGIDA",70,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:41",98,90,0,8,0,56,48,0,8,0,56,0,100,44,20,27,5,4
1,ALBA,"COLEGIUL NAŢIONAL ”TITU MAIORESCU” AIUD",63,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:44:00",1424,1395,1,4,24,682,654,0,4,24,668,14,1549,867,360,254,32,22
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎMBAŞ",68,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:50:36",229,216,0,12,1,229,216,0,12,1,221,3,449,225,121,80,15,5
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎRBOVA DE SUS",73,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:21:05",203,195,0,8,0,95,87,0,8,0,94,1,220,125,50,30,13,1
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎRBOVIŢA",74,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:28:53",104,97,0,7,0,48,41,0,7,0,46,2,100,52,26,14,4,2
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL MĂGINA",69,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:20",473,466,0,6,1,233,226,0,6,1,231,2,512,279,94,112,14,11
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PRIMII PAŞI” AIUD",57,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:01:39",1060,1050,4,6,0,540,534,0,6,0,496,44,1148,608,280,180,23,13
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PRIMII PAŞI” AIUD",56,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:47",407,398,0,6,3,398,389,0,6,3,398,0,968,570,169,189,28,12
1,ALBA,"LICEUL TEHNOLOGIC AGRICOL ”ALEXANDRU BORZA” CIUMBRUD",71,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:21",1055,1049,0,3,3,545,539,0,3,3,527,18,1200,655,296,186,39,6
1,ALBA,"LICEUL TEHNOLOGIC AIUD",65,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:46:07",637,628,0,7,2,292,283,0,7,2,282,5,700,413,132,126,14,10
1,ALBA,"LICEUL TEHNOLOGIC AIUD",64,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:36",720,712,0,7,1,322,314,0,7,1,316,6,800,478,151,142,13,10
1,ALBA,"SALA DE FESTIVITĂŢI DIN SÎNCRAI",75,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:01",556,550,0,2,4,291,285,0,2,4,282,9,606,314,158,98,17,9
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",60,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:59",1110,1106,0,3,1,504,500,0,3,1,487,17,1220,716,303,140,33,11
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",61,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:51:01",1087,1073,0,10,4,495,481,0,10,4,483,12,1200,705,277,171,25,10
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",59,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:43",1121,1106,1,13,1,492,478,0,13,1,482,10,1220,718,267,167,35,13
1,ALBA,"ȘCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",58,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:10",1193,1182,1,9,1,549,539,0,9,1,533,16,1300,751,317,171,35,10
