precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:20",1223,1155,1,16,51,901,834,0,16,51,763,71,1338,504,83,626,29,2,23
36,TELEORMAN,"CĂMIN CULTURAL",121,BUZESCU,152332,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:32:48",1208,1074,1,81,52,774,641,0,81,52,752,22,1240,466,200,498,34,6,14
36,TELEORMAN,"CĂMIN CULTURAL",256,RĂDOIEŞTI,153865,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:29",474,442,0,6,26,282,250,0,6,26,280,2,510,228,54,219,5,1,1
36,TELEORMAN,"CĂMIN CULTURAL",147,CRÂNGENI,152617,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:33:15",1113,1067,0,1,45,591,552,0,1,38,545,46,1180,589,273,180,24,39,29
36,TELEORMAN,"CĂMIN CULTURAL",141,CIUPERCENI,151709,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:01:58",755,681,0,39,35,509,435,0,39,35,488,21,790,281,364,84,22,9,9
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:53:43",689,532,0,82,75,617,460,0,82,75,606,11,670,52,360,223,8,9,6
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:15:52",1165,1096,0,11,58,802,733,0,11,58,771,31,1270,467,72,651,26,7,15
36,TELEORMAN,"CĂMIN CULTURAL CUCUEŢI",272,SCRIOAŞTEA,154013,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:10",701,645,0,32,24,514,458,0,32,24,507,7,700,186,6,459,19,14,9
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",331,VITĂNEŞTI,153776,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:03",567,519,1,13,34,337,290,0,13,34,320,17,605,268,35,210,52,9,14
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",332,VITĂNEŞTI,153776,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:28",663,560,1,29,73,416,314,0,29,73,416,0,695,279,29,386,1,0,0
36,TELEORMAN,"CĂMIN CULTURAL SCRIOAȘTEA",270,SCRIOAŞTEA,154013,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:13:47",1750,1209,437,58,46,1313,1209,0,58,46,1295,18,1920,607,40,1203,25,14,13
36,TELEORMAN,"CĂMIN CULTURAL STEJARU",291,STEJARU,154415,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:55:03",638,566,0,36,36,427,359,0,34,34,418,9,610,183,29,308,68,4,9
