precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"CĂMIN CULTURAL MIROŞI",394,MIROŞI,17398,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:02:51",1126,1111,0,2,13,679,664,0,2,13,646,33,1153,474,381,33,74,26,28,104
3,ARGEŞ,"ŞCOALA SURDULEŞTI",395,MIROŞI,17398,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:24",669,653,0,3,13,378,362,0,3,13,364,14,800,422,251,56,28,6,7,16
