precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VOICU ANDREEA-PARTIDUL NAȚIONAL LIBERAL-voturi","BUCUR SIMION-GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi"
34,SIBIU,"CĂMINUL CULTURAL RACOVIŢA",329,RACOVIŢA,145355,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:06:34",1798,1766,1,15,16,1214,1182,1,15,16,1173,25,1950,736,830,343
34,SIBIU,"CĂMINUL CULTURAL SEBEȘU DE SUS",330,RACOVIŢA,145355,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:32",598,591,1,4,2,385,378,1,4,2,375,10,641,256,313,62
