precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRIAC FRANCISK-IULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SIMION MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDREI IONUŢ-VALENTIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","IONIŢĂ ANTONETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GAVRILĂ GELA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RĂUREANU ADRIAN-CORNELIU-PARTIDUL S.O.S. ROMÂNIA-voturi","FĂTU NECULAI-PARTIDUL SOCIALIST ROMÂN-voturi"
9,BRĂILA,"GRĂDINIŢA CU PROGRAM NORMAL GULIANCA",229,"SALCIA TUDOR",43867,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:26:24",306,301,0,5,0,187,182,0,5,0,181,6,307,120,34,70,37,0,35,0,5,0
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL SIHLEANU",232,"SCORŢARU NOU",43929,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:54:09",371,366,1,2,2,240,236,0,2,2,213,24,344,107,118,53,21,1,1,2,17,0
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",46,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:51:28",786,760,4,4,18,369,347,0,4,18,360,9,850,481,58,194,33,4,48,7,13,3
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",45,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:35:22",1236,1223,4,8,1,550,541,0,8,1,520,30,1400,850,64,282,65,15,64,2,26,2
9,BRĂILA,"GRĂDINIŢA NR. 11 „BRÂNDUȘA”",33,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:23:02",1374,1365,2,7,0,506,499,0,7,0,490,16,1500,993,50,287,57,8,44,9,32,3
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",10,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:20:03",1513,1504,2,7,0,618,611,0,7,0,595,23,1650,1032,58,355,67,6,65,10,29,5
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",9,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:33:47",1595,1586,1,8,0,629,621,0,8,0,601,28,1700,1071,65,326,89,9,45,12,42,13
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",74,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:15:58",1200,1194,0,6,0,439,433,0,6,0,425,14,1300,861,53,259,67,7,17,2,19,1
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",75,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:36:14",939,932,0,6,1,334,327,0,6,1,319,15,1050,715,42,170,54,4,18,5,20,6
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",76,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:41:21",1249,1243,0,6,0,442,436,0,6,0,426,16,1350,908,47,225,65,10,35,7,32,5
