precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA TOMA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŢÎCŞA DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CANDREA DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL POIANA NEGRII",287,"DORNA CANDRENILOR",148202,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:27",776,756,2,5,13,563,544,1,5,13,555,8,800,237,22,139,394
35,SUCEAVA,"PRIMĂRIA COMUNEI DORNA CANDRENILOR",286,"DORNA CANDRENILOR",148202,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:17:49",1708,1684,0,9,15,1076,1052,0,9,15,1065,11,1927,851,20,155,890
