precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FERENCZ ZOLTÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","RACOLŢA ALEXANDRU-ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","KOZMA ALBERT-voturi"
15,COVASNA,"CENTRUL MULTIFUNCŢIONAL BELIN VALE",102,BELIN,63866,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:24:13",1186,1184,1,0,1,693,692,0,0,1,667,26,1278,585,90,574,3
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL BELIN",101,BELIN,63866,4,PART,PRCNCT,P,P_SV,"2024-06-13 11:02:06",1078,1035,0,4,39,717,674,0,4,39,700,17,1186,469,473,198,29
