precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STANCIU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","BELCIUG SILVIU-ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂRCULESCU DUMITRU-COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CÂRSTOCEA ELENA-LAVINIA-PARTIDUL PATRIOȚILOR-voturi","CURSARU ION-LIVIU-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","MARGHIOALA CĂTĂLIN-IONUŢ-PARTIDUL MIȘCAREA POPULARĂ-voturi"
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”DUMITRU BREZEANU”,SAT TEIȘANI,NR.160",584,TEIŞANI,135725,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:57:35",1386,1368,2,14,2,876,860,0,14,2,850,19,1500,631,341,42,68,46,40,313
31,PRAHOVA,"SCOALA GIMNAZIALĂ ”MOISE VASILESCU”, SAT OLTENI, NR.147",585,TEIŞANI,135725,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:25:53",1391,1376,5,5,5,858,852,1,0,5,843,13,1500,641,583,17,125,19,11,88
31,PRAHOVA,"SC ROM CABLU SRL, SAT VALEA STÎLPULUI,NR.2",586,TEIŞANI,135725,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:11",179,169,0,9,1,128,118,0,9,1,126,2,212,84,64,1,28,6,15,12
