precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGUŞIN VICTOR-PARTIDUL SOCIAL DEMOCRAT-voturi","DONCEA BOGDAN-ALIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","EPURE HARALAMBIE-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRAŞCU CĂTĂLIN-ALEXANDRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DOBRE DAN-GEORGE-voturi"
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. D. GHICA”",9,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:55:27",1153,1142,1,9,1,583,573,0,9,1,570,13,1280,697,305,20,175,44,26
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. D. GHICA”",8,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:09",1414,1410,1,2,1,650,647,0,2,1,632,18,1560,910,365,30,183,22,32
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",24,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:07",962,951,0,10,1,380,369,0,10,1,375,5,1060,680,214,17,79,30,35
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",25,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:53:30",954,943,0,10,1,431,420,0,10,1,414,17,1080,649,215,23,116,30,30
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",26,"MUNICIPIUL ALEXANDRIA",151790,4,PART,PRCNCT,P,P_SV,"2024-06-10 09:39:24",887,877,0,7,3,390,380,0,7,3,385,5,1000,610,198,19,108,32,28
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4",31,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:22",1179,1169,1,9,0,421,412,0,9,0,412,9,1350,929,237,31,94,23,27
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4",32,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:21:14",1390,1375,2,13,0,504,491,0,13,0,480,24,1521,1017,277,43,100,21,39
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.7",14,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:55",973,965,0,7,1,465,457,0,7,1,459,6,1120,655,238,22,155,29,15
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.7",15,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:39:48",994,985,0,8,1,449,440,0,8,1,439,10,1100,651,230,22,127,35,25
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.8",34,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:50",1201,1190,0,11,0,241,230,0,11,0,217,24,1310,1069,153,21,36,3,4
36,TELEORMAN,"LICEUL PEDAGOGIC ”MIRCEA SCARLAT”",12,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:33",1169,1142,1,18,8,556,529,1,18,8,544,12,1260,704,278,25,178,31,32
36,TELEORMAN,"LICEUL TEHNOLOGIC ”NICOLAE BĂLCESCU”",6,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:18",1383,1369,2,10,2,679,667,0,10,2,654,25,1520,841,414,30,157,23,30
36,TELEORMAN,"LICEUL TEHNOLOGIC ”NICOLAE BĂLCESCU”",7,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:46:59",1035,1022,0,13,0,455,442,0,13,0,453,2,1130,675,205,15,183,37,13
36,TELEORMAN,"LICEUL TEORETIC ”C. NOICA”",10,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:34",1243,1239,0,4,0,538,534,0,4,0,527,11,1370,832,267,24,168,41,27
36,TELEORMAN,"LICEUL TEORETIC ”C. NOICA”",11,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:09:24",966,954,3,7,2,459,450,0,7,2,446,13,1060,601,219,14,144,37,32
36,TELEORMAN,"SALA POLIVALENTĂ",16,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:24:44",1364,1349,4,9,2,582,571,0,9,2,557,25,1540,958,339,35,131,21,31
36,TELEORMAN,"SALA POLIVALENTĂ",17,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:38:19",1118,1096,4,15,3,507,489,0,15,3,480,27,1220,713,300,24,100,32,24
