precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIRONESCU LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","COROAMĂ ELENA-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞORODOC VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BABALEAN ADRIAN-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CĂMIN CULTURAL GĂLĂNEŞTI",335,GĂLĂNEŞTI,148872,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:04",1019,1017,0,0,2,422,420,0,0,2,413,9,1286,864,243,17,7,146
35,SUCEAVA,"ŞCOALA PRIMARĂ DIN SATUL GĂLĂNEŞTI",334,GĂLĂNEŞTI,148872,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:02",1620,1616,0,0,4,631,627,0,0,4,620,11,1600,969,377,96,52,95
