precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU",361,COŞTEIU,156473,2,PART,PRCNCT,CL,CL_SV,"2024-06-15 16:44:33",673,638,2,20,13,424,391,0,20,13,414,10,700,276,88,36,175,16,71,8,15,5
37,TIMIŞ,"CĂMINUL CULTURAL PĂRU",364,COŞTEIU,156473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:19:20",214,203,3,8,0,132,124,0,8,0,129,3,220,88,14,7,75,5,19,7,2,0
37,TIMIŞ,"CĂMINUL CULTURAL ŢIPARI",365,COŞTEIU,156473,3,PART,PRCNCT,CL,CL_SV,"2024-06-15 16:30:51",733,712,1,14,6,437,416,1,14,6,416,21,770,333,50,14,112,13,29,193,5,0
37,TIMIŞ,"CĂMINUL CULTURAL VALEA LUNGĂ ROMÂNĂ",366,COŞTEIU,156473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:06:23",134,122,0,8,4,81,69,0,8,4,80,1,187,106,3,1,49,7,16,2,2,0
37,TIMIŞ,"PRIMĂRIA VECHECOŞTEIU",362,COŞTEIU,156473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:06",1221,1176,2,12,31,766,723,0,12,31,729,37,1300,534,283,29,237,12,114,23,29,2
37,TIMIŞ,"ŞCOALA PRIMARĂ HEZERIȘ",363,COŞTEIU,156473,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:39",239,221,0,13,5,166,148,0,13,5,163,3,300,134,4,8,115,1,30,3,0,2
