precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
5,BIHOR,"CĂMINUL CULTURAL",446,MĂDĂRAS,30014,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:39:35",198,190,0,8,0,122,114,0,8,0,118,4,207,85,26,5,87
5,BIHOR,"GRĂDINIȚA HOMOROG",444,MĂDĂRAS,30014,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:54",600,570,1,12,17,404,375,0,12,17,397,7,629,225,125,5,267
5,BIHOR,"ŞCOALA CU CLASELE I-VIII",445,MĂDĂRAS,30014,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:37",758,724,4,6,24,451,421,0,6,24,427,24,821,370,67,6,354
5,BIHOR,"ȘCOALA CU CLASELE I.-VIII",443,MĂDĂRAS,30014,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:31:08",798,780,1,8,9,493,475,1,8,9,482,11,866,373,114,61,307
