precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MEIROŞU IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","URSACHE GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUDOR VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi"
9,BRĂILA,"ȘCOALA CU CLASELE I-IV FĂUREI - SAT",244,SURDILA-GRECI,42771,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:00:07",293,282,0,11,0,188,177,0,11,0,176,12,317,129,154,3,19
9,BRĂILA,"ȘCOALA CU CLASELE I-IV HORIA",245,SURDILA-GRECI,42771,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:51",337,321,0,4,12,227,211,0,4,12,212,15,332,105,196,5,11
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII SURDILA GRECI",243,SURDILA-GRECI,42771,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:42",550,544,1,5,0,328,323,0,5,0,315,13,605,277,227,13,75
