precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAYER MARIAN-PARTIDUL ROMÂNIA MARE-voturi","SIMUŢ GLAD-PARTIDUL S.O.S. ROMÂNIA-voturi","SZIME OVIDIU-DANIEL-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","NICA ALIN-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","IACOB ADRIAN-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SIMONIS ALFRED-ROBERT-ALIANȚA ELECTORALĂ PSD PNL-voturi","BALAŞ NELU-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,6,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 09:47:56",1748,1714,14,15,5,842,821,1,15,5,819,23,2000,1158,5,23,23,361,80,306,21
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 10:04:43",1785,1745,13,27,0,859,831,1,27,0,837,22,2000,1141,4,11,25,461,44,278,14
37,TIMIŞ,"BAZĂ DE AGREMENT ȘI TRATAMENT (ȘTRAND TERMAL)",461,LOVRIN,157530,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:44:03",1742,1720,4,5,13,754,736,0,5,13,708,46,1800,1046,10,35,8,137,76,429,13
37,TIMIŞ,"BIBLIOTECA COMUNALĂ ORȚIȘOARA",498,ORŢIŞOARA,158010,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 18:57:16",977,956,4,12,5,581,563,1,12,5,548,33,1000,419,7,46,12,170,53,244,16
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",513,PESAC,159507,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:12:33",909,890,4,3,12,459,444,0,3,12,436,23,1000,541,4,14,1,20,114,280,3
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:36:39",1196,1179,5,8,4,545,531,2,8,4,519,26,1400,855,4,14,5,210,59,225,2
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:18",717,632,77,8,0,285,272,5,8,0,278,7,1100,815,3,5,3,150,14,101,2
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:58:23",350,342,0,8,0,157,149,0,8,0,146,11,400,243,1,20,2,42,32,48,1
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 11:40:30",490,489,0,1,0,219,218,0,1,0,216,3,500,281,2,14,2,50,55,89,4
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",405,GAVOJDIA,157031,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:36:42",641,616,1,6,18,387,362,1,6,18,378,9,800,413,3,9,1,56,45,238,26
37,TIMIŞ,"CĂMIN CULTURAL RUDNA",439,GIULVĂZ,157317,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:54:47",590,584,1,3,2,254,248,1,3,2,227,27,600,345,2,52,2,21,37,110,3
37,TIMIŞ,"CAMIN CULTURAL UNIP",537,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:20:22",208,195,0,12,1,133,120,0,12,1,124,9,199,66,0,1,1,22,34,65,1
37,TIMIŞ,"CĂMINUL CULTURAL ALIOȘ",468,MAŞLOC,157683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:19:09",750,681,2,29,38,505,438,0,29,38,470,35,700,195,5,19,3,53,115,272,3
37,TIMIŞ,"CĂMINUL CULTURAL BALINŢ",298,BALINŢ,155546,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:52:36",396,381,1,9,5,219,205,0,9,5,211,8,499,280,9,25,4,69,25,78,1
37,TIMIŞ,"CĂMINUL CULTURAL BALOȘEȘTI",581,TOMEŞTI,158895,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 11:31:08",113,108,0,3,2,90,85,0,3,2,88,2,200,110,1,0,0,6,18,61,2
37,TIMIŞ,"CĂMINUL CULTURAL BÂRNA",310,BÂRNA,155957,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:38:29",420,411,0,6,3,283,274,0,6,3,262,21,700,417,0,8,2,31,45,170,6
37,TIMIŞ,"CĂMINUL CULTURAL BAZOŞU NOU",345,BUCOVĂŢ,159516,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:48:37",540,515,0,25,0,385,360,0,25,0,381,4,800,415,0,7,4,127,26,212,5
37,TIMIŞ,"CĂMINUL CULTURAL BERECUŢA",332,BIRDA,159366,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:53:41",166,163,0,0,3,92,89,0,0,3,91,1,300,208,1,5,0,7,15,63,0
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",548,SĂCĂLAZ,158564,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:34:01",1082,1027,0,51,4,666,611,0,51,4,649,17,1100,434,6,22,2,125,95,384,15
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",549,SĂCĂLAZ,158564,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:26:04",1110,1063,3,41,3,662,618,0,41,3,632,30,1100,438,8,17,4,127,119,346,11
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MIC",550,SĂCĂLAZ,158564,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:44:39",801,782,1,17,1,445,426,1,17,1,427,18,900,455,7,18,3,110,58,229,2
37,TIMIŞ,"CĂMINUL CULTURAL BICHIGI",261,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:10:26",516,511,0,5,0,313,308,0,5,0,292,21,600,287,2,8,0,58,62,155,7
37,TIMIŞ,"CAMINUL CULTURAL BILED",329,BILED,155911,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:24:43",1991,1930,1,19,41,1040,980,0,19,41,972,68,2200,1160,13,31,8,376,114,412,18
37,TIMIŞ,"CĂMINUL CULTURAL BOTINEŞTI",311,BÂRNA,155957,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:38",157,145,0,11,1,121,109,0,11,1,93,28,200,79,1,5,3,12,10,62,0
37,TIMIŞ,"CĂMINUL CULTURAL BRĂNEŞTI",262,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:50:33",404,398,0,3,3,263,257,0,3,3,250,13,400,137,1,0,0,20,38,191,0
37,TIMIŞ,"CĂMINUL CULTURAL BREAZOVA",463,MARGINA,157585,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:21:47",210,203,1,5,1,140,133,1,5,1,136,4,300,160,3,9,1,29,30,62,2
37,TIMIŞ,"CĂMINUL CULTURAL BUCOVĂŢ",344,BUCOVĂŢ,159516,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:44:09",1863,1785,6,58,14,1263,1189,2,58,14,1225,38,2000,737,12,34,4,553,86,530,6
37,TIMIŞ,"CĂMINUL CULTURAL BULGĂRUŞ",452,LENAUHEIM,157451,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:16:46",1820,1801,2,12,5,765,747,1,12,5,692,73,1900,1135,7,54,3,204,147,264,13
37,TIMIŞ,"CĂMINUL CULTURAL CADAR",593,TORMAC,159035,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:20:50",230,219,0,9,2,127,116,0,9,2,109,17,300,173,0,8,2,20,13,65,1
37,TIMIŞ,"CĂMINUL CULTURAL CARANI",554,SÂNANDREI,158653,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:50:02",1726,1704,2,13,7,813,793,0,13,7,773,40,1800,987,8,34,9,237,180,295,10
37,TIMIŞ,"CĂMINUL CULTURAL CĂRPINIŞ",347,CĂRPINIŞ,156213,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:39:22",1765,1756,3,0,6,699,693,0,0,6,670,29,2000,1301,5,22,3,158,58,326,98
37,TIMIŞ,"CĂMINUL CULTURAL CHECEA",353,CHECEA,159375,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:15:00",1753,1737,0,2,14,881,865,0,2,14,825,56,2100,1219,5,33,2,92,162,513,18
37,TIMIŞ,"CĂMINUL CULTURAL CHEREŞTUR",316,"BEBA VECHE",155724,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:27:49",403,385,0,13,5,275,257,0,13,5,264,11,434,159,2,8,0,33,62,159,0
37,TIMIŞ,"CĂMINUL CULTURAL CIREŞU",368,CRICIOVA,156534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:59:13",294,274,1,15,4,221,201,1,15,4,209,12,400,179,1,10,0,21,44,132,1
37,TIMIŞ,"CĂMINUL CULTURAL CLICIOVA",325,BETHAUSEN,155840,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:06:06",354,342,0,9,3,226,214,0,9,3,188,38,406,180,5,13,1,80,29,50,10
37,TIMIŞ,"CĂMINUL CULTURAL COMLOŞU MARE",358,"COMLOŞU MARE",156437,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:04:11",1530,1521,1,6,2,710,702,0,6,2,634,76,1800,1090,7,47,2,55,74,444,5
37,TIMIŞ,"CĂMINUL CULTURAL COŞAVA",371,CURTEA,156589,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:34",487,450,0,19,18,388,351,0,19,18,365,23,600,212,0,11,0,26,36,292,0
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU",361,COŞTEIU,156473,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-15 17:13:29",673,638,2,20,13,424,391,0,20,13,406,16,900,476,3,24,5,95,54,221,4
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU DE SUS",464,MARGINA,157585,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:42:04",165,158,0,6,1,93,86,0,6,1,87,6,200,107,0,9,0,13,20,44,1
