precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TÓTH ZOLTÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DOBRAŞ TAMÁS-PARTIDUL SOCIAL DEMOCRAT-voturi","KÁRÁSZ ENDRE-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
32,"SATU MARE","ŞCOALA GIMNAZIALĂ CIDREAG",273,PORUMBEŞTI,180028,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:36:31",864,853,0,4,7,464,453,0,4,7,420,44,948,484,348,18,54
32,"SATU MARE","ŞCOALA GIMNAZIALĂ PORUMBEŞTI",272,PORUMBEŞTI,180028,3,PART,PRCNCT,P,P_SV,"2024-06-11 17:28:05",1224,1199,6,1,18,684,665,0,1,18,672,12,1352,668,581,18,73
